,path,label,label_int
0,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000312_224resized.png,cheetah,0
1,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000137_224resized.png,cheetah,0
2,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000251_224resized.png,cheetah,0
3,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000319_224resized.png,cheetah,0
4,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000146_224resized.png,cheetah,0
5,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000281_224resized.png,cheetah,0
6,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000094_224resized.png,cheetah,0
7,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000375_224resized.png,cheetah,0
8,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000424_224resized.png,cheetah,0
9,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000078_224resized.png,cheetah,0
10,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000057_224resized.png,cheetah,0
11,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000214_224resized.png,cheetah,0
12,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000277_224resized.png,cheetah,0
13,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000049_224resized.png,cheetah,0
14,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000197_224resized.png,cheetah,0
15,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000129_224resized.png,cheetah,0
16,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000035_224resized.png,cheetah,0
17,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000294_224resized.png,cheetah,0
18,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000402_224resized.png,cheetah,0
19,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000178_224resized.png,cheetah,0
20,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000210_224resized.png,cheetah,0
21,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000262_224resized.png,cheetah,0
22,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000202_224resized.png,cheetah,0
23,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000180_224resized.png,cheetah,0
24,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000062_224resized.png,cheetah,0
25,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000207_224resized.png,cheetah,0
26,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000054_224resized.png,cheetah,0
