,path,label_int
0,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000501_224resized.png,0
1,../input/wildlife-animals-images/tiger-resize-224/tiger-resize-224/00000397_224resized.png,4
2,../input/wildlife-animals-images/tiger-resize-224/tiger-resize-224/00000488_224resized.png,4
3,../input/wildlife-animals-images/fox-resize-224/fox-resize-224/00000207_224resized.png,1
4,../input/wildlife-animals-images/fox-resize-224/fox-resize-224/00000310_224resized.png,1
5,../input/wildlife-animals-images/hyena-resize-224/resize-224/00000083_224resized.png,2
6,../input/wildlife-animals-images/tiger-resize-224/tiger-resize-224/00000455_224resized.png,4
7,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000338_224resized.png,0
8,../input/wildlife-animals-images/wolf-resize-224/wolf-resize-224/00000050_224resized.png,5
9,../input/wildlife-animals-images/wolf-resize-224/wolf-resize-224/00000043_224resized.png,5
10,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000117_224resized.png,0
11,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000485_224resized.png,0
12,../input/wildlife-animals-images/hyena-resize-224/resize-224/00000448_224resized.png,2
13,../input/wildlife-animals-images/lion-resize-224/lion-resize-224/00000429_224resized.png,3
14,../input/wildlife-animals-images/hyena-resize-224/resize-224/00000216_224resized.png,2
15,../input/wildlife-animals-images/lion-resize-224/lion-resize-224/00000451_224resized.png,3
16,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000078_224resized.png,0
17,../input/wildlife-animals-images/tiger-resize-224/tiger-resize-224/00000117_224resized.png,4
18,../input/wildlife-animals-images/fox-resize-224/fox-resize-224/00000292_224resized.png,1
19,../input/wildlife-animals-images/fox-resize-224/fox-resize-224/00000380_224resized.png,1
20,../input/wildlife-animals-images/lion-resize-224/lion-resize-224/00000142_224resized.png,3
21,../input/wildlife-animals-images/lion-resize-224/lion-resize-224/00000205_224resized.png,3
22,../input/wildlife-animals-images/wolf-resize-224/wolf-resize-224/00000011_224resized.png,5
23,../input/wildlife-animals-images/fox-resize-224/fox-resize-224/00000058_224resized.png,1
24,../input/wildlife-animals-images/hyena-resize-224/resize-224/00000239_224resized.png,2
25,../input/wildlife-animals-images/wolf-resize-224/wolf-resize-224/00000176_224resized.png,5
26,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000491_224resized.png,0
27,../input/wildlife-animals-images/fox-resize-224/fox-resize-224/00000256_224resized.png,1
28,../input/wildlife-animals-images/lion-resize-224/lion-resize-224/00000302_224resized.png,3
29,../input/wildlife-animals-images/lion-resize-224/lion-resize-224/00000044_224resized.png,3
30,../input/wildlife-animals-images/tiger-resize-224/tiger-resize-224/00000429_224resized.png,4
31,../input/wildlife-animals-images/tiger-resize-224/tiger-resize-224/00000273_224resized.png,4
32,../input/wildlife-animals-images/wolf-resize-224/wolf-resize-224/00000032_224resized.png,5
33,../input/wildlife-animals-images/tiger-resize-224/tiger-resize-224/00000483_224resized.png,4
34,../input/wildlife-animals-images/lion-resize-224/lion-resize-224/00000146_224resized.png,3
35,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000384_224resized.png,0
36,../input/wildlife-animals-images/hyena-resize-224/resize-224/00000345_224resized.png,2
37,../input/wildlife-animals-images/hyena-resize-224/resize-224/00000341_224resized.png,2
38,../input/wildlife-animals-images/hyena-resize-224/resize-224/00000095_224resized.png,2
39,../input/wildlife-animals-images/fox-resize-224/fox-resize-224/00000224_224resized.png,1
40,../input/wildlife-animals-images/fox-resize-224/fox-resize-224/00000006_224resized.png,1
41,../input/wildlife-animals-images/cheetah-resize-224/resize-224/00000185_224resized.png,0
